run_id,scenario,solver,n_proposals,run_iter,seed,start_time,end_time,runtime
60d3cd46-d1c3-47f3-b54a-2509cc577c85,NLIN+NCONV,Ours,1,9,5,2023-04-01 14:59:07.814150,2023-04-01 14:59:09.840405,2.026255
210d1499-a848-46e9-8f8a-0fbba69b257f,NLIN+NCONV,Ours,1,10,37,2023-04-01 14:59:09.845289,2023-04-01 14:59:11.897114,2.051825
0c8c4490-2718-4f4f-9eae-3815a1f9974a,NLIN+NCONV,Ours,10,1,113,2023-04-01 14:59:12.120695,2023-04-01 14:59:14.186452,2.065757
ec4067a0-b1f3-4f44-b6d3-f83a026469d2,NLIN+NCONV,Ours,10,2,183,2023-04-01 14:59:14.233364,2023-04-01 14:59:16.271662,2.038298
93af2701-6c01-4afc-bab9-4adce8d05074,NLIN+NCONV,Ours,10,3,172,2023-04-01 14:59:16.318448,2023-04-01 14:59:18.415349,2.096901
5928fcfb-ccdd-4858-9973-b38529ae269c,NLIN+NCONV,Ours,10,4,253,2023-04-01 14:59:18.464064,2023-04-01 14:59:20.529696,2.065632
8a0e0e35-7f94-4a87-8b1f-60a77215f43c,NLIN+NCONV,Ours,10,5,33,2023-04-01 14:59:20.576299,2023-04-01 14:59:22.693766,2.117467
bc6c56e5-45e3-43ec-9af5-5c6a620bff4e,NLIN+NCONV,Ours,10,6,254,2023-04-01 14:59:22.739965,2023-04-01 14:59:24.783611,2.043646
5a8726f7-9489-4105-b2bd-9c77e15cc894,NLIN+NCONV,Ours,10,7,20,2023-04-01 14:59:24.829996,2023-04-01 14:59:26.899850,2.069854
160452b2-98be-4a00-a32f-42aacfeead55,NLIN+NCONV,Ours,10,8,119,2023-04-01 14:59:26.946487,2023-04-01 14:59:28.983116,2.036629
ce139652-b8a7-430d-b4dd-e9b6673cc0b3,NLIN+NCONV,Ours,10,9,5,2023-04-01 14:59:29.029366,2023-04-01 14:59:31.053061,2.023695
15a93d00-a018-4a03-bd8c-7ab7d7a10d08,NLIN+NCONV,Ours,10,10,37,2023-04-01 14:59:31.099256,2023-04-01 14:59:33.160498,2.061242
345f3158-1635-450d-8f68-ee9aa8b3111e,NLIN+CONV,WS,1,1,113,2023-04-01 14:59:38.479637,2023-04-01 14:59:40.002542,1.522905
